Contingency	Load	Demanded_MWh	Served_MWh	Shed_MWh
0	5	90	21	69
0	7	100	65	35
0	9	125	25	100
1	5	90	3	87
1	7	100	9	91
1	9	125	10	115
2	5	90	0	90
2	7	100	0	100
2	9	125	0	125
3	5	90	0	90
3	7	100	0	100
3	9	125	0	125
4	5	90	6	84
4	7	100	13	87
4	9	125	11	114
5	5	90	0	90
5	7	100	0	100
5	9	125	0	125
6	5	90	25	65
6	7	100	31	69
6	9	125	31	94
7	5	90	31	59
7	7	100	32	68
7	9	125	43	82
8	5	90	0	90
8	7	100	0	100
8	9	125	0	125
9	5	90	13	77
9	7	100	38	62
9	9	125	28.000000000000004	97
10	5	90	0	90
10	7	100	0	100
10	9	125	0	125
11	5	90	35	55
11	7	100	48	52
11	9	125	0	125
12	5	90	0	90
12	7	100	0	100
12	9	125	0	125
13	5	90	0	90
13	7	100	0	100
13	9	125	0	125
14	5	90	0	90
14	7	100	0	100
14	9	125	0	125
15	5	90	8	82
15	7	100	75	25
15	9	125	28.000000000000004	97
16	5	90	0	90
16	7	100	0	100
16	9	125	0	125
17	5	90	0	90
17	7	100	0	100
17	9	125	0	125
18	5	90	13	77
18	7	100	62	38
18	9	125	34	91
19	5	90	25	65
19	7	100	24	76
19	9	125	28.000000000000004	97
20	5	90	36	54
20	7	100	0	100
20	9	125	33	92
21	5	90	44	46
21	7	100	39	61
21	9	125	27	98
22	5	90	0	90
22	7	100	0	100
22	9	125	0	125
23	5	90	0	90
23	7	100	0	100
23	9	125	0	125
24	5	90	0	90
24	7	100	0	100
24	9	125	0	125
25	5	90	0	90
25	7	100	0	100
25	9	125	0	125
26	5	90	13	77
26	7	100	60	40
26	9	125	15	110
27	5	90	15	75
27	7	100	35	65
27	9	125	10	115
28	5	90	32	58
28	7	100	36	64
28	9	125	0	125
29	5	90	0	90
29	7	100	0	100
29	9	125	0	125
30	5	90	0	90
30	7	100	0	100
30	9	125	0	125
31	5	90	0	90
31	7	100	0	100
31	9	125	0	125
32	5	90	35	55
32	7	100	33	67
32	9	125	28.999999999999996	96
33	5	90	0	90
33	7	100	0	100
33	9	125	0	125
34	5	90	13	77
34	7	100	62	38
